County	AMERICANINDIANANDNATIVEALASKAN	15-19YEARSOLD	COLLEGEDEGREE(PERCENT)	POPULATIONTOTAL	OTHERRACE	HISPANICORLATINOPOPULATION	HIGHSCHOOLGRADUATEONLY(PERCENT)	MEDIANHOUSEHOLDINCOME	PERSONSINPOVERTY	20-34YEARSOLD	ASIANANDPACIFICISLANDERPOPULATION	TOTALEMPLOYMENT	INCIVILIANLABORFORCE	35-59YEARSOLD	FEMALEPOPULATION	TOTALUNEMPLOYMENT	BLACKORAFRICANAMERICANPOPULATION	60-74YEARSOLD	75YEARSPLUS	WHITEPOPULATION	
WESTMORELAND	1490.7454	-475.1626	16.2861	-8352.6182	892.3856	3216.5352	24.1799	58505.6202	-363823.3517	-28125.1051	3191.9018	2777.4678	5498.6299	21270.8892	-8626.9426	2997.0833	7141.3948	2715.3090	12532.0894	-13573.3115	19.905062450000003
WESTMORELAND	1328.8564	-106.4971	14.5937	-8221.9239	780.3264	3040.5972	17.7350	54668.2405	-363355.4785	-20312.5107	2906.2993	353.9459	3461.9542	13737.4607	-7979.2989	3483.1526	6532.2147	6240.8304	9578.0043	-12961.1701	33.37083021
WESTMORELAND	1043.2774	258.5046	12.6973	-8090.5576	637.7642	2839.6802	8.1339	50202.5783	-362885.6392	-13231.0829	2563.9824	-2118.1087	1390.7976	5656.8497	-7330.2808	3951.4085	5864.0239	9581.9711	6239.0402	-12346.7087	20.707553349999998
WESTMORELAND	541.5588	617.8874	10.5831	-7959.2379	457.2759	2611.4143	-6.1052	45032.1632	-362416.4072	-6849.3389	2155.7415	-4625.9779	-703.9712	-2964.8032	-6683.4480	4399.9841	5134.9423	12730.5431	2484.5085	-11733.2940	12.407594369999998
WESTMORELAND	-334.3752	970.0579	8.2382	-7828.5927	229.9985	2353.3983	-27.1007	39076.5561	-361950.0226	-1124.2637	1671.4206	-7157.9201	-2812.4272	-12118.2751	-6041.8725	4827.6942	4343.3951	15683.8639	-1715.9101	-11123.8517	7.995493750000001
WESTMORELAND	-1878.7670	1318.4871	5.6123	-7697.3660	-58.9686	2058.9399	-58.3605	32150.2770	-361482.0000	4061.2603	1091.2890	-9738.8050	-4955.1150	-21930.0714	-5399.3778	5239.4405	3475.7422	18480.7498	-6460.5148	-10512.5201	6.389974729999999
WESTMORELAND	-4592.0281	1661.5526	2.6849	-7566.1858	-424.8102	1724.3998	-104.7210	24130.9205	-361014.5824	8734.4262	399.4347	-12357.0812	-7122.2306	-32398.8220	-4759.0464	5633.8817	2529.0220	21116.4355	-11795.6329	-9902.2300	2.714362280000003
ELK	96.0957	-720.4847	-9.4728	-4834.4831	58.5055	167.2130	44.8045	42424.2887	9832.7533	-4902.7430	82.4097	-1731.1636	-1748.0200	1648.5464	-2680.2916	20.7078	250.8191	-108.5583	1055.0499	-4807.9982	16.62848993
ELK	81.5569	-726.8387	-2.8102	-4927.4120	51.5564	145.1395	37.7823	38234.9910	9776.6934	-8027.0506	62.1549	-1670.1359	-1708.8109	842.8874	-2675.5106	22.0639	240.3527	45.3029	830.8129	-4722.1287	34.00964473
ELK	59.9571	-733.2448	2.2528	-5021.1018	42.6781	112.9529	24.1284	33268.8193	9720.2333	-12685.1767	37.2604	-1608.9981	-1669.4737	-31.1238	-2670.7045	23.4257	220.6584	195.5079	581.9455	-4636.0012	31.922460649999998
